CID,Plant absorption and mobility,Soil absorption and mobility,Plant bioconcentrations,Terrestrial animals bioconcentrations,Aquatic animals bioconcentrations,Sediment and soil bioconcentrations,Aerobic degradation,Anaerobic degradation
221493,0,1,0,0,0,0,0,0
22188,1,1,0,0,0,0,1,1
222,0,1,1,0,0,0,1,1
22206,1,0,1,0,0,0,0,0
22235201,1,0,0,0,0,0,0,0
222528,0,0,0,0,0,0,0,0
22311,0,1,1,0,1,1,1,1
2244,0,1,0,0,0,0,1,1
22498,1,0,0,0,0,0,0,0
22544,1,1,1,0,0,1,1,1
2256,1,1,1,0,1,1,1,1
22563,0,0,0,0,0,1,1,1
2266,0,0,0,0,0,1,0,0
2268,0,1,1,1,0,1,1,1
227,0,1,0,0,0,0,1,1
2272,0,1,0,0,0,1,1,1
22833475,0,0,1,1,1,1,0,0
22856,0,0,0,0,0,0,0,0
2286,0,1,0,0,0,0,0,0
22985,0,1,0,0,0,1,1,1
2315,0,0,0,0,0,0,0,0
2319,1,1,0,0,0,0,1,1
23194,0,0,0,0,0,1,0,0
23274975,1,0,0,0,0,0,0,0
2328,1,0,0,0,0,0,0,0
233,1,0,0,0,0,0,0,0
2336,0,1,1,1,1,1,1,1
2342,0,0,0,0,0,0,0,0
23424322,1,0,0,0,0,0,0,0
2343,0,0,0,0,0,0,0,0
23436,0,0,0,0,1,1,0,0
2345,0,1,1,0,0,1,1,1
23466,1,0,0,0,0,0,0,0
2347,1,1,1,0,1,1,1,1
23558,0,0,0,0,0,1,0,0
2365,0,1,0,0,0,0,0,0
23662264,0,0,0,0,1,0,0,0
23662383,0,0,0,0,0,0,1,1
23663539,0,0,0,0,0,0,1,1
23664719,0,1,0,0,0,0,1,1
23665760,0,0,0,0,0,0,0,0
23665763,0,0,0,0,0,0,0,0
23665884,0,0,0,0,0,0,1,1
23666328,0,1,0,0,0,0,1,1
23667548,0,0,0,0,0,0,0,0
23667639,1,0,0,0,0,0,0,0
23668193,0,0,0,0,0,0,0,0
23668198,0,0,0,0,0,0,1,1
23668346,0,0,0,0,0,0,0,0
23670593,0,0,0,0,0,0,1,1
23672064,0,0,0,0,0,0,0,0
23673461,0,0,0,0,0,0,0,0
23673837,0,0,0,0,0,0,0,0
23675317,0,0,0,0,0,0,0,0
23676225,0,0,1,0,1,0,0,0
23676736,1,0,0,0,0,0,0,0
23679004,0,0,0,0,0,0,0,0
23682187,1,0,0,0,0,0,0,0
23682789,1,0,0,0,0,0,0,0
23690431,0,1,0,0,0,0,1,1
237,0,0,0,0,0,0,0,0
23717,1,0,0,0,0,0,0,0
